atmId,brandId,dateInstalled,cashCapacity,currentCashAmount,statusId,maintenanceDate,address,postalCode
1,1,2018-01-01,200000.0,150000.0,1,2023-09-01,100 Main St,10001
2,1,2018-01-01,200000.0,12000.0,1,2023-09-01,100 Main St (Lobby),10001
3,2,2019-05-15,150000.0,80000.0,1,2023-09-15,250 North Ave,10020
4,2,2019-05-15,150000.0,0.0,3,2023-09-15,45 West Blvd,10030
5,3,2020-03-20,100000.0,95000.0,1,2023-10-01,78 East Rd,10040
6,1,2021-06-10,250000.0,200000.0,1,2023-10-05,1 Terminal Way,11000
7,1,2021-06-10,250000.0,180000.0,1,2023-10-05,1 Terminal Way (Gate 5),11000
8,3,2022-01-15,100000.0,5000.0,1,2023-08-20,500 Shop Ln,10050
9,2,2018-11-11,150000.0,75000.0,2,2023-10-10,200 Atlantic Ave,11201
10,1,2019-08-08,200000.0,190000.0,1,2023-09-25,30 Queens Blvd,11101
11,4,2020-02-02,120000.0,60000.0,1,2023-09-10,40 Grand Concourse,10451
12,1,2021-04-04,200000.0,1000.0,3,2023-10-02,10 Richmond Rd,10301
13,2,2017-07-07,150000.0,0.0,4,2023-10-12,50 Hudson St,07030
14,3,2022-09-09,100000.0,45000.0,1,2023-10-08,10 Broad St,07102
15,4,2023-01-01,120000.0,110000.0,5,2023-10-11,5 Washington St,07030
