accountId,customerId,typeId,balance,dateCreated,creditScore,currencyId,languageId,statusId
101,1,1,5400.5,2020-01-16,720,1,1,1
102,1,2,12000.0,2020-06-01,720,1,1,1
103,2,1,320.0,2020-02-21,650,1,2,1
104,3,5,150000.0,2019-11-15,800,1,1,1
105,4,1,1200.75,2021-05-13,680,2,1,1
106,5,3,-500.0,2018-08-26,550,1,1,2
107,6,2,5000.0,2022-02-01,710,1,1,1
108,7,4,25000.0,2017-03-20,790,1,1,1
109,8,1,890.2,2020-09-10,695,3,1,1
110,9,1,100.0,2023-06-02,0,1,1,1
111,10,3,-1200.0,2019-12-26,620,1,1,3
112,11,5,75000.0,2015-07-08,760,1,1,1
113,12,2,3300.5,2021-02-15,700,2,1,1
114,13,1,4500.0,2019-04-02,730,1,3,1
115,14,1,2100.25,2022-10-11,715,1,2,1
