departmentId,name,phone,dateCreated,email,regionId
1,Operations,646-555-0101,2010-01-01,ops@bank.com,1
2,Retail Sales,646-555-0102,2010-01-01,sales@bank.com,1
3,Loan Dept,646-555-0103,2011-03-15,loans@bank.com,1
4,Wealth Mgmt,646-555-0104,2012-06-20,wealth@bank.com,1
5,Security,646-555-0105,2010-01-01,security@bank.com,1
6,IT Support,646-555-0106,2010-05-10,it@bank.com,2
7,HR,646-555-0107,2010-02-01,hr@bank.com,1
8,Marketing,646-555-0108,2013-09-01,marketing@bank.com,1
9,Legal,646-555-0109,2011-11-11,legal@bank.com,1
10,Compliance,646-555-0110,2012-01-20,compliance@bank.com,1
11,Customer Service,646-555-0111,2010-01-01,service@bank.com,2
12,Investment Banking,646-555-0112,2015-04-01,invest@bank.com,1
13,Risk Management,646-555-0113,2014-07-15,risk@bank.com,1
14,Audit,646-555-0114,2011-08-08,audit@bank.com,1
15,Facilities,646-555-0115,2010-01-01,facilities@bank.com,2
