loanId,accountId,typeId,amount,startDate,finishDate,statusId
1,101,1,350000.0,2020-02-01,2050-02-01,1
2,102,3,25000.0,2021-06-15,2026-06-15,1
3,103,2,5000.0,2022-01-10,2024-01-10,1
4,104,1,500000.0,2019-12-01,2049-12-01,1
5,105,4,40000.0,2018-09-01,2028-09-01,1
6,107,2,10000.0,2023-01-05,2025-01-05,1
7,108,3,30000.0,2020-05-20,2025-05-20,2
8,109,2,2000.0,2023-08-01,2024-02-01,1
9,111,2,15000.0,2019-11-11,2022-11-11,3
10,112,1,200000.0,2016-03-15,2036-03-15,1
11,113,3,18000.0,2021-07-01,2026-07-01,1
12,114,2,3000.0,2022-04-10,2023-04-10,2
13,115,4,25000.0,2020-08-25,2030-08-25,1
14,101,2,5000.0,2021-12-01,2022-12-01,2
15,104,3,60000.0,2023-01-15,2028-01-15,1
